text,commit message for
Rewrite of menu handling and inflation to use the native Menu instance via a wrapper when on post-3.0. This allows us to remain forwards compatibile with any new features introduced to the menu XML schema while still supporting whatever we want on older platforms via the custom inflater.,adding new features
Heartbeat for Java client feature explanation,adding new features
more testability improvements.,improving non-functional requirements
Forgot to commit this crucial change. That means the fix for this bug is actually in 1.205  (issue #1482),bug fixing
Improve testability of Dao,improving non-functional requirements
Add the 'extractDuplicates' parameter enabling the duplicates detection and extraction,commits that belong to no category
CORE-2528 Oracle: improve unique constraint snapshot query performance,improving non-functional requirements
renamed features to highlight their focus,adding new features
dead-3004: remove duplicate ssvm-check.sh,commits that belong to no category
Dealing with large files: performance improvements in the outline tree content provider.,improving non-functional requirements
Change order and wording of action item buttons in the feature demo to match the tab section.,adding new features
CORE-2371 Improve performance,improving non-functional requirements
CLOUDSTACK-7425: Fixed 'Failed to create network offering due to invalid service Lb',bug fixing
improved basic number parse performance.,improving non-functional requirements
Moved duplicated code to RunNotifier.testAborted(),commits that belong to no category
"new UI - instance page - fix a bug that JS error ""jsonObj is null or not an object"" when switching between tabs on an empty page.",bug fixing
Cleanup code and Improve readability of TachyonConf.java,improving non-functional requirements
Reduce the wait time to improve performance,improving non-functional requirements
removed hostgroup feature - explanation: http://www.lennartkoopmann.net/post/11612984083/hostgroups-in-graylog2-will-die,adding new features
Remove the old duplicate savepassword.sh,commits that belong to no category
Feature Request 839: Add links to jabref in about section,adding new features
bug 10737: Fix java.nio.BufferOverflowException in decompression,bug fixing
1. add more log for rename. 2. fix a remote read port bug.,bug fixing
CLOUDSTACK-2865: fix error in prepareStop,bug fixing
ISPN-1725 Improve performance of GroupManagerImpl#getMetadata,improving non-functional requirements
Make it possible to clobber feature paths and glue with -Dcucumber.options,adding new features
"Finish feature to search on trace headline

Also change terminology from trace description to headline. Also make
searching case-insensitive for both trace headline and trace user ID.",adding new features
"Deprecate the `_default_` mapping. (#25652)

Now that indices cannot have types anymore, this feature does not buy anything
anymore.

Closes #25500",adding new features
ISPN-1015 - Optimize HotRod client to match Memcached performance,improving non-functional requirements
Squashed dirty Spring features,adding new features
bug 10232: CloudStack UI - Instance page - fix a bug that VMName was not decoded when encode.api.response is set to true.,bug fixing
1) More fixes for the problems found by findBugs,bug fixing
new UI - Instance tab - fix a bug that only 1st action is taken,bug fixing
[UI] bug fix: Delete added ACL lists is not available for Domain Admin and normal users,bug fixing
cli: Fix attribute error and fix helpdoc,bug fixing
HBASE-1236  Improve readability of table descriptions in the UI,improving non-functional requirements
[SECURITY-167] fix failing unit test.,bug fixing
"Enable validation of Optional values

To validate values contained in an `Optional` type, we need to use a new
feature in Hibernate Validator 5.1, so this introduces a dependency
version bump to 5.1.1.

This makes use of an *experimental* feature in Hibernate Validator, so
I'm not 100% sure we'll want to make use of it yet.

To validate the contents of an `Optional`, you need to include an
`@UnwrapValidatedValue` annotation on the property being validated:

```java
@Length(min = 32, max = 32)
@UnwrapValidatedValue
private Optional<String> md5 = Optional.absent();
```

Absent values are considered `null` when validated, so their behaviour
depends on your chosen constraints' handling of `null` values.

We have to register this inside `Bootstrap`, and I noticed that we don't
(currently) expose a way for users to register more validation behaviour
through `Bootstrap`, so we should probably look in to that.",adding new features
Improve readability of RoutesFilter,improving non-functional requirements
"new UI - zone page - fix a bug that happened when deleting zone: ""$leftmenuItem1 is not defined""",bug fixing
HTTP: Improved performance by using a larger buffer,improving non-functional requirements
Improved performance on query against not-unique indexes,improving non-functional requirements
"CLJ-1618 - Support IReduceInit in set, improve performance",improving non-functional requirements
add request controller subsystem to web feature pack standalone config,adding new features
Merge pull request #10258 from pveentjer/v3.9/performance/optimize-selector-by-default,improving non-functional requirements
CORE-2355 Improve updateSQL performance,improving non-functional requirements
[TACHYON-622] Add a class PlainSaslServer that implements the SaslServer interface -- Fixed the unit test failure and code style,bug fixing
DataOutput2: small performance improvement,improving non-functional requirements
"Make recurseModel method tail-recursive, fix stack overflow error",bug fixing
"CLOUDSTACK-7610,CLOUDSTACK-7611,CLOUDSTACK-7612: Fixed following bugs in AlertsSyslogAppender 1. Added sync alert. 2. Changed unrecognised alerts are send as unknown instead of null. 3. Added unit tests to cover some more scenarios.",bug fixing
